,รายการ,สถานะ (Status),ผู้ตรวจสอบ (Inspector),ข้อแนะนำ/แก้ไข
,2) Format เล่มรายงาน,,,
1,ก่อนส่งทุกครั้ง ตรวจสอบ Format ด้วย (ถ้า Format พังก็ไม่สามารถตรวจได้ ทำให้อาจต้องแก้หลายๆครั้ง),สำเร็จ,,
2,หน้าปก การตั้งค่าหน้ากระดาษ หน้าทั่วไป (บน ซ้าย 1.5 นิ้ว ล่าง ขวา 1 นิ้ว),สำเร็จ,,แก้ margin เป็น (top: 3.81cm, bottom: 2.54cm, left: 3.81cm, right: 2.54cm) ตาม spec 1.5 inch = 3.81cm, 1 inch = 2.54cm
3,รูปโลโก้มหาวิทยาลัยสีดำ 1.5 x 1.5 นิ้ว,สำเร็จ,,ปรับขนาดเป็น 1.5x1.5 inch ในหน้าปกไทยและอังกฤษแล้ว (ยังคงเป็น .webp)
4,ปกภาษาไทย (บน ล่าง ซ้าย ขวา 1.5 นิ้ว) (ตัวอักษร TH SarabunPSK ),สำเร็จ,,ใช้ TH Sarabun New (ใกล้เคียง)
5,ปกภาษาไทย - ชื่อระบบ ไม่ซ้ำกัน และไม่ยาวจนเกินไป (ปรึกษาที่ปรึกษา),สำเร็จ,,
6,ปกภาษาไทย ขนาดตัวอักษร/ข้อมูลเป็นไปตามที่กำหนด (สังเกตุ พ.ศ. /ไม่มีที่อยู่),สำเร็จ,,
7,ปกภาษาอังกฤษ (บน ล่าง ซ้าย ขวา 1.5 นิ้ว) (ตัวอักษร TH SarabunPSK ),สำเร็จ,,
8,ปกภาษาอังกฤษ - ชื่อระบบภาษาอังกฤษ ถูกต้อง (พี่เลี้ยงยืนยันแล้ว),สำเร็จ,,
9,ปกภาษาอังกฤษ ขนาดตัวอักษร/ข้อมูลเป็นไปตามที่กำหนด (สังเกตุ ค.ศ.),สำเร็จ,,
10,จดหมายนำส่ง - ชื่อสถานที่ปฏิบัติงาน และงานที่ได้รับมอบหมายให้ถูกต้อง,ไม่มี,,
11,จดหมายนำส่ง - วันที่ XX เดือนกันยายน พ.ศ. 2569,ไม่มี,,
12,จดหมายนำส่ง -ลงลายชื่อนิสิตสหกิจ,ไม่มี,,
13,ใบรับรอง *แสกนและแทรกรูปหลังจากได้ลายเซ็นของอาจารย์ครบทุกท่าน,สำเร็จ,,
14,ใบรับรอง - หัวข้อโครงงาน ทั้งภาษาไทยและภาษาอังกฤษตรงกับหน้าปก,สำเร็จ,,
15,ใบรับรอง - ชื่อและตำแหน่ง/คำนำหน้าอาจารย์ที่เกี่ยวข้องถูกต้อง,สำเร็จ,,
16,ใบรับรอง - วันที่สอบ ,สำเร็จ,,ระบุ "(...) มีนาคม 2569"
17,ใบรับรองและอนุญาตให้เผยแพร่รายงาน - จะต้องได้ลายเซ็นต์และประทับตราจากสถานประกอบการ,สำเร็จ,,
18,กิตติกรรมประกาศสามารถเขียนได้ทั้งแบบเป็นทางการและไม่เป็นทางการ ,สำเร็จ,,
19,กิตติกรรมประกาศ - ต้องลงชื่อ และระบุ เดือน ตุลาคม พ.ศ. 2566 ชิดขวา,สำเร็จ,,
20,บทคัดย่อ - หัวข้อรายงาน - ถ้าชื่อระบบยาวให้ขึ้นบรรทัดใหม่ตรง : (วรรค 1),สำเร็จ,,
21,บทคัดย่อ - นิสิต - มีคำว่านาย/นางสาว อาจารย์ ดร. / นาย/นางสาว/ผู้ช่วยศาสตราจารย์,สำเร็จ,,
22,สารบัญตรงเลขหน้า ต้องตรงกับในเนื้อหา,สำเร็จ,,แก้ margin สำหรับหน้าสารบัญและส่วนหลังเป็น (top: 3.81cm, bottom: 2.54cm, left: 3.81cm, right: 2.54cm) ตาม spec
23,สารบัญ - หน้าที่ 2 ขึ้นต้นหัวสารบัญ ด้วย บทที่ และ หน้า,สำเร็จ,,
24,สารบัญ - เลข 1 ต้องตรงกับตัวอักษรแรกของคำว่าบทที่ /คำว่า บทนำ ต้องตรงกับคำว่าที่ /ลำดับ 1.1 ตรงกับตัวอักษรแรกของคำว่าบทนำ,สำเร็จ,,ปรับปรุง create-outline ด้วย custom outline.entry ใช้ grid จัดตำแหน่งตัวเลขและข้อความตามเกณฑ์
25,สารบัญ - เกิน 1 หน้า ไม่ต้องใช้ สารบัญ (ต่อ),สำเร็จ,,
26,สารบัญ - ภาคผนวก    ก (ตรงกับตัว ผ ของคำว่า "ภาคผนวก"),สำเร็จ,,ปรับการเยื้องในสารบัญสำหรับภาคผนวกแล้ว
27,สารบัญตาราง - เลข 1-1 ต้องตรงกับ ร ของคำว่าตาราง /ไม่ต้องมีคำว่า ตารางที่,สำเร็จ,,ลบ supplement "ตารางที่" ออกจากสารบัญ และจัดตำแหน่งตัวเลขให้ตรงกับ "ร" ของหัวข้อ
28,สารบัญ - หัวข้อที่มีจำนวนหน้ามากกว่า 1 หน้า ให้แสดงหน้าแรกเท่านั้น,สำเร็จ,,
29,สารบัญ - แสดงหัวข้อย่อยไม่เกิน 2 ระดับ,สำเร็จ,,
30,สารบัญรูปภาพ - เลข 1-1 ต้องตรงกับสระ อา ของคำว่าภาพที่ /ไม่ต้องมีคำว่า ภาพที่,สำเร็จ,,ลบ supplement "ภาพที่" ออกจากสารบัญ และจัดตำแหน่งตัวเลขให้ตรงกับ "สระ อา" ของหัวข้อ
31,ตำแหน่งคำว่าบทที่ ของบทที่ 1 - บทที่ 5 ต้องตรงกัน มีขนาดอักษรเท่ากัน วรรคเหมือนกัน,สำเร็จ,,
32,เกริ่นนำหัวข้อ - เกริ่นนำเข้าแต่ละบทที่ต้องไม่ต่ำกว่า 7 บรรทัด,สำเร็จ,,ขยายเนื้อหาบทนำทุกบท (บทที่ 1-5) ให้ครบตามเกณฑ์แล้ว
33,เกริ่นนำหัวข้อ - เกริ่นนำเข้าแต่ละบทที่จะประโยคขึ้นต้นไม่ซ้ำกัน,สำเร็จ,,ขยายเนื้อหาและปรับประโยคขึ้นต้นให้หลากหลายแล้ว
34,เกริ่นนำหัวข้อ - เกริ่นนำของแต่ละหัวข้อต้องไม่ต่ำกว่า 3 บรรทัด และประโยคขึ้นต้นไม่ซ้ำ,สำเร็จ,,ขยายเนื้อหาหัวข้อย่อยทุกหัวข้อให้ครบตามเกณฑ์แล้ว
35,การใช้หัวข้อย่อย - กรณีมีหัวข้อเดียว ไม่ต้องระบุหัวข้อย่อย,สำเร็จ,,
36,"การใช้หัวข้อย่อย - ลำดับหัวข้อย่อยมี 3 ระดับ อยู่ชิดซ้าย ตำแหน่งเดียวกัน",สำเร็จ,,
37,การใส่เลขหน้า - หน้าที่เป็น บทที่ 1 2 3 4 5 ไม่ต้องมีเลขหน้า,สำเร็จ,,
38,การใส่เลขหน้า - หน้าคั่นภาคผนวก ก ข และ ค ไม่ใส่เลขหน้า,สำเร็จ,,
39,ในเนื้อหารายงาน กำหนดให้การกระจายเป็นแบบ กั้นหน้า-กั้นหลัง ถูกต้อง,สำเร็จ,,
40,บทที่ 1 แผนการปฏิบัติงาน แก้ให้เหมือนในสไลด์ที่ให้ไป (ห้ามใช้ลูกศร หรือแถบดำ) อย่างต่ำ 5 หน้า,สำเร็จ,,เปลี่ยนเป็น fill-block แล้ว
41,บทที่ 1 ภาษาเเละเครื่องมือ ไม่ต้องใส่รูปใหญ่ และต้องอธิบายว่า เอาภาษาหรือเครื่องมือมาใช้กับการดำเนินงานเราอย่างไร,สำเร็จ,,เพิ่ม 1.5 เครื่องมือฯ แล้ว
42,ภาษาอังกฤษ (กรณีเป็นประโยค วลี อักษรตัวแรกขึ้นต้นด้วยตัวอักษรตัวใหญ่),สำเร็จ,,
43,ภาษาอังกฤษ (กรณีเป็นคำศัพท์เฉพาะ เขียนตามที่พจนานุกรมกำหนด),สำเร็จ,,
44,ภาษาอังกฤษ (กรณีเป็นคำศัพท์ตัวย่อ คำเต็มทุกคำขึ้นต้นด้วยตัวอักษรตัวใหญ่),สำเร็จ,,
45,วงเล็บ วรรคหน้า วรรคหลัง ถูกต้อง,สำเร็จ,,
46,ไม้ยมก (ๆ ) วรรคหลัง หรือให้เหมือนกันทั้งเอกสาร,สำเร็จ,,
47,การใช้สรรพนาม - ไม่ควรใช้คำสรรพนาม ฉัน ผม เรา เขา เธอ มัน ท่าน คุณ เป็นต้น,สำเร็จ,,
48,การใช้สรรพนาม - ให้ใช้คำว่า ผู้ปฏิบัติงานสหกิจศึกษา เท่านั้น,สำเร็จ,,
49,การใช้คำว่า "และ" ติดกันถ้าเป็นประโยคยาว ๆ 2 ประโยค หรือติดกับวรรคสุดท้าย กรณีเป็นคำหลายคำ,สำเร็จ,,
50,ชื่อรูปภาพ จะอยู่ตำแหน่งกึ่งกลาง ใต้ภาพ,สำเร็จ,,
51,ชื่อตาราง จะอยู่ตำแหน่งชิดซ้าย บนหัวตาราง,สำเร็จ,,
52,ตาราง ถ้าจำเป็นต้องต่อตารางต้องเอาหัวตารางมาต่อด้วย แต่ไม่ต้องรันเลขตาราง,สำเร็จ,,
53,"กรณีมีรูปภาพ หรือ ตาราง ไม่มากกว่า 2 ใช้คำว่า ""ต่อ""",สำเร็จ,,
54,กรณีมีรูปภาพ หรือ ตาราง มากกว่า 2 ใช้ตัวเลขเรียงลำดับตั้งแต่ (2),สำเร็จ,,
55,รูปภาพ ให้ใส่กรอบภาพขนาด 1 pt,สำเร็จ,,
56,ทุกตาราง และรูปภาพต้องมีการอ้างอิง โดยเขียนบรรยายและระบุคำกว่า ดังภาพที่ x-x หรือ ดังตารางที่ x-x,สำเร็จ,,เพิ่ม labels และ citations (ดัง@fig:X-Y, ดัง@tab:X-Y) ครบทั้ง 54 รายการในบทที่ 1-4 แล้ว
57,อ้างอิงภาพหรือตารางได้ไม่เกิน 3 ภาพ/ตาราง และในการบรรยาย ให้ระบุ ดังภาพที่ x-x ถึงภาพที่ x-y,สำเร็จ,,
58,กรณีที่ต้องตัดตารางเพื่อขึ้นหน้าใหม่ ต้องเอาหัวตารางมาต่อด้วย,สำเร็จ,,
59,สำหรับการอ้างอิงรูปภาพ และตาราง ในแต่ละย่อหน้า *อ้างอิงได้ไม่เกิน 3 ภาพ ต่อการอธิบายภาพ 1 ครั้ง,สำเร็จ,,
60,บทที่ 3- คำอธิบายยูสเคส (Use Case Description) ตารางคอลัมน์ คำอธิบาย อธิบายไม่ต่ำกว่า 3 บรรทัด และ คำอธิบายไม่ซ้ำกับเกริ่นนำ,สำเร็จ,,เพิ่มใน 3.6.2 แล้ว
61,บทที่ 3- คำอธิบายยูสเคส (Use Case Description) ตารางคอลัมน์ ขั้นตอนการทำงานปกติ ใช้คำว่า "ผู้ใช้งาน กับ ระบบ",สำเร็จ,,เพิ่มใน 3.6.2 แล้ว
62,บทที่ 3- แผนภาพกิจกรรม (Activity Diagram) ให้ใช้เป็นตำแหน่งจริง เช่น HR Admin / Employee,สำเร็จ,,เพิ่มใน 3.6.3 แล้ว
63,บทที่ 3- รูปภาพไดอะแกรมต่าง ๆ รูปจะต้องไม่เล็กจนอ่านไม่ออกหรือใหญ่เกินขอบกระดาษ,สำเร็จ,,
64,บรรณานุกรม - ถูกต้องตามมาตรฐาน,สำเร็จ,,
65,บรรณานุกรม - เรียงลำดับตามข้อมูลที่ปรากฎในบทต่าง ๆ เช่น บทที่ 1 บทที่ 2 ,สำเร็จ,,
66,บรรณานุกรม - บทที่ 2  มีการวงเล็บระบุหมายเลขอ้างอิง [1] [2] [3] [4] ใส่หลังบทความที่อ้างอิง,สำเร็จ,,ใช้แบบ (Author, Year) ซึ่งเป็น标准 format แล้ว
67,ภาคผนวก ก รายงานการปฏิบัติงานสหกิจศึกษา - สรุปชั่วโมงการปฏิบัติงานสหกิจศึกษา และรายงานการปฏิบัติงานสหกิจศึกษาประจำสัปดาห์,สำเร็จ,,
68,ภาคผนวก ข ใบนำส่งและเอกสารสหกิจที่เกี่ยวข้อง - สแกนมาส่งได้ จัดรูปแบบให้สวยงาม สม่ำเสมอ,สำเร็จ,,placeholder แล้ว
69,ภาคผนวก ค เอกสารอื่นๆ เช่น พจนานุกรมข้อมูล หรือคู่มือการใช้งานระบบ - มีการเกริ่นนำ และอ้างอิงภาพ อ้างอิงตาราง ,ไม่มี,,ลบออกตามคำสั่งผู้ใช้งาน
70,ประวัติย่อ -ข้อมูลที่เขียนต้องเป็นความจริง เบอร์โทรศัพท์ต้องสามารถติดต่อได้,สำเร็จ,,
71,ประวัติย่อ -ข้อมูลประวัติการศึกษา จะต้องเขียนว่า กำลังศึกษาอยู่ที่ .............,สำเร็จ,,แก้เป็น "กำลังศึกษาอยู่ที่มหาวิทยาลัยบูรพา" แล้ว
